product_id,product_name,category_path
1278,Intenso Music Walker 8GB,Sprzęt RTV;Przenośne audio i video;Odtwarzacze mp3 i mp4
1279,Assassin&#39;s Creed 3 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1280,Kinectimals Now with Bears (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1281,Manta MM266,Sprzęt RTV;Przenośne audio i video;Odtwarzacze mp3 i mp4
1282,Kinect Sports Sezon 2 (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1283,Okulary 3D PHILIPS PTA436/00,Sprzęt RTV;Video;Telewizory i akcesoria;Okulary 3D
1284,Opticum AX-900,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1285,Opticum AX-800,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1286,Opticum AX-1000,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1287,Philips SDV6226,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1288,Philips SDV5100,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1289,Philips SDV5225,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1290,Philips SDV5120,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1291,Philips SDV6224,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1292,Philips SDV8622,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1293,Hama 44292,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1294,Sencor SDA-500,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1295,Sencor SDA-600,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1296,Sencor SDA-630,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1297,Telmor DSP-860,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1298,Thomson ANT1410,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1299,Vivanco TVA 301,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1300,Vivanco TVA 501,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1301,Vivanco TVA 400,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1302,Vivanco TVA 500,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1303,Wiwa AN 220,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1304,Wiwa AN 200,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1305,One For All SV 9360,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1306,One For All SV 9215,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1307,One For All SV 9033,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1308,One For All SV 9143,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1309,One For All SV 9323,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1310,One For All SV 9125,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1311,One For All SV 9345,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1312,One For All SV 9335,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1313,Evolveo SHARK,Sprzęt RTV;Video;Telewizory i akcesoria;Anteny RTV
1314,Assassin&#39;s Creed (Xbox 360),Gry i konsole;Gry na konsole;Gry Xbox 360
1315,Jabra Talk,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy słuchawkowe
1316,Plantronics Voyager Legend,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy słuchawkowe
1317,Plantronics Savi W740,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy słuchawkowe
1318,Plantronics Savi W710,Sprzęt RTV;Audio;Słuchawki
1319,HTC HS-S200,Telefony i akcesoria;Akcesoria telefoniczne;Zestawy słuchawkowe
